Player,Age,Date,Record MV
Ashley Young,26,24.06.2012,€27.00m
N/A,N/A,N/A,N/A
Patrice Evra,28,25.01.2010,€27.00m
Ashley Cole,29,25.01.2010,€27.00m
David Raum,24,21.09.2022,€26.00m
Leonardo Spinazzola,27,23.03.2021,€26.00m
Michael Kayode,19,05.06.2024,€25.00m
Wilfried Singo,23,03.06.2024,€25.00m
Yan Couto,22,07.06.2024,€25.00m
Strahinja Pavlović,22,12.06.2023,€25.00m
Radu Drăgușin,22,14.03.2024,€25.00m
Miguel Gutiérrez,22,07.06.2024,€25.00m
Taylor Harwood-Bellis,21,12.07.2023,€25.00m
Juan Foyth,24,03.06.2022,€25.00m
Facundo Medina,24,19.03.2024,€25.00m
Nathan Collins,22,19.12.2023,€25.00m
Andrea Cambiaso,24,12.03.2024,€25.00m
Perr Schuurs,23,15.06.2023,€25.00m
Youcef Atal,23,27.09.2019,€25.00m
James Justin,24,15.06.2022,€25.00m
Junior Firpo,22,21.12.2018,€25.00m
Antonee Robinson,26,27.05.2024,€25.00m
Nordi Mukiele,22,17.12.2019,€25.00m
Ben Godfrey,22,13.10.2020,€25.00m
Kyle Walker-Peters,25,15.09.2022,€25.00m
Ridle Baku,23,09.06.2021,€25.00m
Ashley Young,26,24.06.2012,€27.00m
N/A,N/A,N/A,N/A
Patrice Evra,28,25.01.2010,€27.00m
Ashley Cole,29,25.01.2010,€27.00m
David Raum,24,21.09.2022,€26.00m
Leonardo Spinazzola,27,23.03.2021,€26.00m
Michael Kayode,19,05.06.2024,€25.00m
Wilfried Singo,23,03.06.2024,€25.00m
Yan Couto,22,07.06.2024,€25.00m
Strahinja Pavlović,22,12.06.2023,€25.00m
Radu Drăgușin,22,14.03.2024,€25.00m
Miguel Gutiérrez,22,07.06.2024,€25.00m
Taylor Harwood-Bellis,21,12.07.2023,€25.00m
Juan Foyth,24,03.06.2022,€25.00m
Facundo Medina,24,19.03.2024,€25.00m
Nathan Collins,22,19.12.2023,€25.00m
Andrea Cambiaso,24,12.03.2024,€25.00m
Perr Schuurs,23,15.06.2023,€25.00m
Youcef Atal,23,27.09.2019,€25.00m
James Justin,24,15.06.2022,€25.00m
Junior Firpo,22,21.12.2018,€25.00m
Antonee Robinson,26,27.05.2024,€25.00m
Nordi Mukiele,22,17.12.2019,€25.00m
Ben Godfrey,22,13.10.2020,€25.00m
Kyle Walker-Peters,25,15.09.2022,€25.00m
Ridle Baku,23,09.06.2021,€25.00m
Ashley Young,26,24.06.2012,€27.00m
N/A,N/A,N/A,N/A
Patrice Evra,28,25.01.2010,€27.00m
Ashley Cole,29,25.01.2010,€27.00m
David Raum,24,21.09.2022,€26.00m
Leonardo Spinazzola,27,23.03.2021,€26.00m
Michael Kayode,19,05.06.2024,€25.00m
Wilfried Singo,23,03.06.2024,€25.00m
Yan Couto,22,07.06.2024,€25.00m
Strahinja Pavlović,22,12.06.2023,€25.00m
Radu Drăgușin,22,14.03.2024,€25.00m
Miguel Gutiérrez,22,07.06.2024,€25.00m
Taylor Harwood-Bellis,21,12.07.2023,€25.00m
Juan Foyth,24,03.06.2022,€25.00m
Facundo Medina,24,19.03.2024,€25.00m
Nathan Collins,22,19.12.2023,€25.00m
Andrea Cambiaso,24,12.03.2024,€25.00m
Perr Schuurs,23,15.06.2023,€25.00m
Youcef Atal,23,27.09.2019,€25.00m
James Justin,24,15.06.2022,€25.00m
Junior Firpo,22,21.12.2018,€25.00m
Antonee Robinson,26,27.05.2024,€25.00m
Nordi Mukiele,22,17.12.2019,€25.00m
Ben Godfrey,22,13.10.2020,€25.00m
Kyle Walker-Peters,25,15.09.2022,€25.00m
Ridle Baku,23,09.06.2021,€25.00m
Ashley Young,26,24.06.2012,€27.00m
N/A,N/A,N/A,N/A
Patrice Evra,28,25.01.2010,€27.00m
Ashley Cole,29,25.01.2010,€27.00m
David Raum,24,21.09.2022,€26.00m
Leonardo Spinazzola,27,23.03.2021,€26.00m
Michael Kayode,19,05.06.2024,€25.00m
Wilfried Singo,23,03.06.2024,€25.00m
Yan Couto,22,07.06.2024,€25.00m
Strahinja Pavlović,22,12.06.2023,€25.00m
Radu Drăgușin,22,14.03.2024,€25.00m
Miguel Gutiérrez,22,07.06.2024,€25.00m
Taylor Harwood-Bellis,21,12.07.2023,€25.00m
Juan Foyth,24,03.06.2022,€25.00m
Facundo Medina,24,19.03.2024,€25.00m
Nathan Collins,22,19.12.2023,€25.00m
Andrea Cambiaso,24,12.03.2024,€25.00m
Perr Schuurs,23,15.06.2023,€25.00m
Youcef Atal,23,27.09.2019,€25.00m
James Justin,24,15.06.2022,€25.00m
Junior Firpo,22,21.12.2018,€25.00m
Antonee Robinson,26,27.05.2024,€25.00m
Nordi Mukiele,22,17.12.2019,€25.00m
Ben Godfrey,22,13.10.2020,€25.00m
Kyle Walker-Peters,25,15.09.2022,€25.00m
Ridle Baku,23,09.06.2021,€25.00m
Ashley Young,26,24.06.2012,€27.00m
N/A,N/A,N/A,N/A
Patrice Evra,28,25.01.2010,€27.00m
Ashley Cole,29,25.01.2010,€27.00m
David Raum,24,21.09.2022,€26.00m
Leonardo Spinazzola,27,23.03.2021,€26.00m
Michael Kayode,19,05.06.2024,€25.00m
Wilfried Singo,23,03.06.2024,€25.00m
Yan Couto,22,07.06.2024,€25.00m
Strahinja Pavlović,22,12.06.2023,€25.00m
Radu Drăgușin,22,14.03.2024,€25.00m
Miguel Gutiérrez,22,07.06.2024,€25.00m
Taylor Harwood-Bellis,21,12.07.2023,€25.00m
Juan Foyth,24,03.06.2022,€25.00m
Facundo Medina,24,19.03.2024,€25.00m
Nathan Collins,22,19.12.2023,€25.00m
Andrea Cambiaso,24,12.03.2024,€25.00m
Perr Schuurs,23,15.06.2023,€25.00m
Youcef Atal,23,27.09.2019,€25.00m
James Justin,24,15.06.2022,€25.00m
Junior Firpo,22,21.12.2018,€25.00m
Antonee Robinson,26,27.05.2024,€25.00m
Nordi Mukiele,22,17.12.2019,€25.00m
Ben Godfrey,22,13.10.2020,€25.00m
Kyle Walker-Peters,25,15.09.2022,€25.00m
Ridle Baku,23,09.06.2021,€25.00m
Ashley Young,26,24.06.2012,€27.00m
N/A,N/A,N/A,N/A
Patrice Evra,28,25.01.2010,€27.00m
Ashley Cole,29,25.01.2010,€27.00m
David Raum,24,21.09.2022,€26.00m
Leonardo Spinazzola,27,23.03.2021,€26.00m
Michael Kayode,19,05.06.2024,€25.00m
Wilfried Singo,23,03.06.2024,€25.00m
Yan Couto,22,07.06.2024,€25.00m
Strahinja Pavlović,22,12.06.2023,€25.00m
Radu Drăgușin,22,14.03.2024,€25.00m
Miguel Gutiérrez,22,07.06.2024,€25.00m
Taylor Harwood-Bellis,21,12.07.2023,€25.00m
Juan Foyth,24,03.06.2022,€25.00m
Facundo Medina,24,19.03.2024,€25.00m
Nathan Collins,22,19.12.2023,€25.00m
Andrea Cambiaso,24,12.03.2024,€25.00m
Perr Schuurs,23,15.06.2023,€25.00m
Youcef Atal,23,27.09.2019,€25.00m
James Justin,24,15.06.2022,€25.00m
Junior Firpo,22,21.12.2018,€25.00m
Antonee Robinson,26,27.05.2024,€25.00m
Nordi Mukiele,22,17.12.2019,€25.00m
Ben Godfrey,22,13.10.2020,€25.00m
Kyle Walker-Peters,25,15.09.2022,€25.00m
Ridle Baku,23,09.06.2021,€25.00m
Ashley Young,26,24.06.2012,€27.00m
N/A,N/A,N/A,N/A
Patrice Evra,28,25.01.2010,€27.00m
Ashley Cole,29,25.01.2010,€27.00m
David Raum,24,21.09.2022,€26.00m
Leonardo Spinazzola,27,23.03.2021,€26.00m
Michael Kayode,19,05.06.2024,€25.00m
Wilfried Singo,23,03.06.2024,€25.00m
Yan Couto,22,07.06.2024,€25.00m
Strahinja Pavlović,22,12.06.2023,€25.00m
Radu Drăgușin,22,14.03.2024,€25.00m
Miguel Gutiérrez,22,07.06.2024,€25.00m
Taylor Harwood-Bellis,21,12.07.2023,€25.00m
Juan Foyth,24,03.06.2022,€25.00m
Facundo Medina,24,19.03.2024,€25.00m
Nathan Collins,22,19.12.2023,€25.00m
Andrea Cambiaso,24,12.03.2024,€25.00m
Perr Schuurs,23,15.06.2023,€25.00m
Youcef Atal,23,27.09.2019,€25.00m
James Justin,24,15.06.2022,€25.00m
Junior Firpo,22,21.12.2018,€25.00m
Antonee Robinson,26,27.05.2024,€25.00m
Nordi Mukiele,22,17.12.2019,€25.00m
Ben Godfrey,22,13.10.2020,€25.00m
Kyle Walker-Peters,25,15.09.2022,€25.00m
Ridle Baku,23,09.06.2021,€25.00m
Ashley Young,26,24.06.2012,€27.00m
N/A,N/A,N/A,N/A
Patrice Evra,28,25.01.2010,€27.00m
Ashley Cole,29,25.01.2010,€27.00m
David Raum,24,21.09.2022,€26.00m
Leonardo Spinazzola,27,23.03.2021,€26.00m
Michael Kayode,19,05.06.2024,€25.00m
Wilfried Singo,23,03.06.2024,€25.00m
Yan Couto,22,07.06.2024,€25.00m
Strahinja Pavlović,22,12.06.2023,€25.00m
Radu Drăgușin,22,14.03.2024,€25.00m
Miguel Gutiérrez,22,07.06.2024,€25.00m
Taylor Harwood-Bellis,21,12.07.2023,€25.00m
Juan Foyth,24,03.06.2022,€25.00m
Facundo Medina,24,19.03.2024,€25.00m
Nathan Collins,22,19.12.2023,€25.00m
Andrea Cambiaso,24,12.03.2024,€25.00m
Perr Schuurs,23,15.06.2023,€25.00m
Youcef Atal,23,27.09.2019,€25.00m
James Justin,24,15.06.2022,€25.00m
Junior Firpo,22,21.12.2018,€25.00m
Antonee Robinson,26,27.05.2024,€25.00m
Nordi Mukiele,22,17.12.2019,€25.00m
Ben Godfrey,22,13.10.2020,€25.00m
Kyle Walker-Peters,25,15.09.2022,€25.00m
Ridle Baku,23,09.06.2021,€25.00m
