Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Oliver Baumann,de GER,GK,Hoffenheim,32,1990,34,34,"3,060",34.0,57,1.68,161,105,65.8,10,6,18,5,14.7,3,2,0,1,0.0,Matches
Janis Blaswich,de GER,GK,RB Leipzig,31,1991,26,26,"2,340",26.0,29,1.12,75,45,69.3,16,4,6,7,26.9,7,6,1,0,14.3,Matches
Fabian Bredlow,de GER,GK,Stuttgart,27,1995,15,15,"1,350",15.0,23,1.53,59,37,69.5,4,5,6,1,6.7,5,5,0,0,0.0,Matches
Koen Casteels,be BEL,GK,Wolfsburg,30,1992,34,34,"3,060",34.0,48,1.41,147,101,70.1,13,10,11,12,35.3,7,4,1,2,20.0,Matches
Oliver Christensen,dk DEN,GK,Hertha BSC,23,1999,33,33,"2,970",33.0,68,2.06,163,94,61.3,6,8,19,3,9.1,6,5,1,0,16.7,Matches
Finn Dahmen,de GER,GK,Mainz 05,24,1998,8,8,720,8.0,16,2.00,44,26,65.9,3,2,3,0,0.0,3,1,2,0,66.7,Matches
Tjark Ernst,de GER,GK,Hertha BSC,19,2003,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,,Matches
Ralf Fährmann,de GER,GK,Schalke 04,33,1988,12,12,"1,025",11.4,13,1.14,55,43,78.2,3,6,3,5,41.7,2,1,0,1,0.0,Matches
Mark Flekken,nl NED,GK,Freiburg,29,1993,34,34,"3,060",34.0,44,1.29,150,106,74.0,17,8,9,13,38.2,6,5,0,1,0.0,Matches
Rafał Gikiewicz,pl POL,GK,Augsburg,34,1987,23,23,"2,070",23.0,41,1.78,136,93,70.6,8,3,12,5,21.7,4,1,2,1,66.7,Matches
Lennart Grill,de GER,GK,Union Berlin,23,1999,5,5,450,5.0,11,2.20,25,14,64.0,2,1,2,2,40.0,2,2,0,0,0.0,Matches
Péter Gulácsi,hu HUN,GK,RB Leipzig,32,1990,6,6,540,6.0,10,1.67,26,17,65.4,2,2,2,2,33.3,1,1,0,0,0.0,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,32,1989,33,33,"2,969",33.0,47,1.42,142,97,71.8,14,8,11,9,27.3,7,7,0,0,0.0,Matches
Gregor Kobel,ch SUI,GK,Dortmund,24,1997,27,27,"2,430",27.0,32,1.19,119,88,73.9,19,3,5,11,40.7,1,1,0,0,0.0,Matches
Tomáš Koubek,cz CZE,GK,Augsburg,29,1992,11,11,990,11.0,22,2.00,65,45,66.2,1,4,6,1,9.1,0,0,0,0,,Matches
Andrey Lunyov,ru RUS,GK,Leverkusen,30,1991,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
Alexander Meyer,de GER,GK,Dortmund,31,1991,7,7,630,7.0,12,1.71,32,20,62.5,3,2,2,1,14.3,0,0,0,0,,Matches
