Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches
Pierluigi Gollini,it ITA,GK,Napoli,28,1995,7,7,630,7.0,8,1.14,24,16,66.7,3,1,3,1,14.3,0,0,0,0,,Matches
Nicola Leali,it ITA,GK,Genoa,30,1993,3,2,176,2.0,2,1.02,9,7,77.8,1,0,1,0,0.0,0,0,0,0,,Matches
Mike Maignan,fr FRA,GK,Milan,28,1995,29,29,"2,609",29.0,34,1.17,120,86,77.5,19,5,5,10,34.5,7,7,0,0,0.0,Matches
Christos Mandas,gr GRE,GK,Lazio,21,2001,9,8,721,8.0,6,0.75,29,23,79.3,6,1,1,4,50.0,0,0,0,0,,Matches
Tommaso Martinelli,it ITA,GK,Fiorentina,17,2006,1,1,90,1.0,2,2.00,3,1,33.3,1,0,0,0,0.0,0,0,0,0,,Matches
Josep Martinez,es ESP,GK,Genoa,25,1998,36,36,"3,239",36.0,43,1.19,130,87,69.2,11,13,12,8,22.2,4,3,1,0,25.0,Matches
Alex Meret,it ITA,GK,Napoli,26,1997,31,31,"2,773",30.8,40,1.30,104,62,63.5,10,13,8,5,16.1,4,2,2,0,50.0,Matches
Vanja Milinković-Savić,rs SRB,GK,Torino,26,1997,36,36,"3,240",36.0,31,0.86,134,103,81.3,13,14,9,18,50.0,6,6,0,0,0.0,Matches

Antonio Mirante,it ITA,GK,Milan,40,1983,2,2,177,2.0,3,1.53,8,5,62.5,0,1,1,0,0.0,0,0,0,0,,Matches
Lorenzo Montipò,it ITA,GK,Hellas Verona,27,1996,37,37,"3,330",37.0,49,1.32,153,105,69.3,9,10,18,8,21.6,2,2,0,0,0.0,Matches
Juan Musso,ar ARG,GK,Atalanta,29,1994,11,11,990,11.0,12,1.09,34,23,70.6,6,1,4,6,54.5,2,2,0,0,0.0,Matches
Lapo Nava,it ITA,GK,Milan,19,2004,1,0,3,0.0,1,30.00,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches
Guillermo Ochoa,mx MEX,GK,Salernitana,38,1985,21,21,"1,890",21.0,44,2.10,115,72,67.8,0,6,15,1,4.8,7,7,0,0,0.0,Matches
Maduka Okoye,ng NGA,GK,Udinese,23,1999,21,21,"1,890",21.0,25,1.19,89,65,75.3,5,8,8,5,23.8,3,3,0,0,0.0,Matches
Rui Patrício,pt POR,GK,Roma,35,1988,23,23,"2,070",23.0,27,1.17,74,49,66.2,11,5,7,6,26.1,3,2,0,1,0.0,Matches
Simone Perilli,it ITA,GK,Hellas Verona,28,1995,1,1,90,1.0,2,2.00,10,8,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
Mattia Perin,it ITA,GK,Juventus,30,1992,3,3,225,2.5,1,0.40,5,4,80.0,2,1,0,1,33.3,0,0,0,0,,Matches
Samuele Perisan,it ITA,GK,Empoli,25,1997,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches
Carlo Pinsoglio,it ITA,GK,Juventus,33,1990,1,0,45,0.5,0,0.00,3,3,100.0,0,0,0,1,,0,0,0,0,,Matches
Ivan Provedel,it ITA,GK,Lazio,29,1994,30,30,"2,699",30.0,33,1.10,119,86,73.9,12,6,12,9,30.0,3,2,0,1,0.0,Matches
Boris Radunović,rs SRB,GK,Cagliari,27,1996,7,7,630,7.0,12,1.71,27,16,55.6,0,2,5,2,28.6,1,0,0,1,,Matches
Federico Ravaglia,it ITA,GK,Bologna,23,1999,6,6,535,5.9,3,0.50,18,13,83.3,4,1,1,4,66.7,1,0,1,0,100.0,Matches
Francesco Rossi,it ITA,GK,Atalanta,32,1991,1,0,5,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches
Simone Scuffet,it ITA,GK,Cagliari,27,1996,31,31,"2,789",31.0,55,1.77,129,76,59.7,8,10,13,3,9.7,3,3,0,0,0.0,Matches
Marco Silvestri,it ITA,GK,Udinese,32,1991,17,17,"1,530",17.0,28,1.65,68,40,67.6,1,11,5,4,23.5,6,6,0,0,0.0,Matches
Łukasz Skorupski,pl POL,GK,Bologna,32,1991,32,32,"2,880",32.0,29,0.91,106,77,75.5,14,13,5,13,40.6,6,3,1,2,25.0,Matches
Daniele Sommariva,it ITA,GK,Genoa,26,1997,1,0,5,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
Yann Sommer,ch SUI,GK,Inter,34,1988,34,34,"3,060",34.0,19,0.56,98,78,82.7,27,6,1,19,55.9,4,2,1,1,33.3,Matches
Alessandro Sorrentino,it ITA,GK,Monza,21,2002,7,5,548,6.1,16,2.63,32,16,62.5,0,1,4,0,0.0,4,4,0,0,0.0,Matches
Marco Sportiello,it ITA,GK,Milan,31,1992,7,7,630,7.0,11,1.57,33,23,69.7,3,3,1,2,28.6,1,1,0,0,0.0,Matches
Mile Svilar,rs SRB,GK,Roma,23,1999,15,15,"1,350",15.0,19,1.27,77,58,76.6,7,4,4,5,33.3,2,1,1,0,50.0,Matches
Wojciech Szczęsny,pl POL,GK,Juventus,33,1990,35,35,"3,150",35.0,30,0.86,108,79,74.1,17,13,5,15,42.9,3,2,1,0,33.3,Matches
Pietro Terracciano,it ITA,GK,Fiorentina,33,1990,33,33,"2,970",33.0,35,1.06,126,90,77.0,15,8,10,8,24.2,7,6,1,0,14.3,Matches

Stefano Turati,it ITA,GK,Frosinone,21,2001,31,31,"2,745",30.5,58,1.90,152,94,65.1,6,9,16,4,12.9,7,5,1,1,16.7,Matches
